Gene,Allele
IGHA1 ,*01:01
IGHA2 ,*01:01
IGHD ,*01:01
IGHD1-1 ,*01
IGHD1-7 ,*01
IGHD1-14 ,*01
IGHD1-20 ,*01
IGHD1-26 ,*01
IGHD2-2 ,*01
IGHD2-8 ,*01
IGHD2-15 ,*01
IGHD2-21 ,*02
IGHD3-3 ,*01
IGHD3-9 ,*01
IGHD3-10 ,*01
IGHD3-16 ,*02
IGHD3-22 ,*01
IGHD4-4 ,*01
IGHD4-11 ,*01
IGHD4-17 ,*01
IGHD4-23 ,*01
IGHD5-5 ,*01
IGHD5-12 ,*01
IGHD5-18 ,*01
IGHD5-24 ,*01
IGHD6-6 ,*01
IGHD6-13 ,*01
IGHD6-19 ,*01
IGHD6-25 ,*01
IGHD7-27 ,*01
IGHE ,*01:01
IGHEP1 ,*01:01
IGHG1 ,*01:01
IGHG2 ,*01:01
IGHG3 ,*01:01
IGHG4 ,*01:01
IGHGP ,*01:01
IGHJ1 ,*01
IGHJ1P ,*02
IGHJ2 ,*01
IGHJ2P ,*02
IGHJ3 ,*02
IGHJ3P ,*02
IGHJ4 ,*02
IGHJ5 ,*02
IGHJ6 ,*03
IGHM ,*01:01
IGHV1-2 ,*01:01
IGHV1-3 ,*01:01
IGHV1-12 ,*01:01
IGHV1-14 ,*01:01
IGHV1-17 ,*01:01
IGHV1-18 ,*01:01
IGHV1-24 ,*01:01
IGHV1-45 ,*01:01
IGHV1-46 ,*01:01
IGHV1-58 ,*01:01
IGHV1-67 ,*01:01
IGHV1-68 ,*01:01
IGHV1-69 ,*01:01
IGHV1-69-2 ,*01:01
IGHV1-69D ,*01:01
IGHV2-5 ,*01:01
IGHV2-26 ,*01:01
IGHV2-70 ,*01:01
IGHV2-70D ,*01:01
IGHV3-6 ,*01:01
IGHV3-7 ,*01:01
IGHV3-11 ,*01:01
IGHV3-13 ,*01:01
IGHV3-15 ,*01:01
IGHV3-16 ,*01:01
IGHV3-19 ,*01:01
IGHV3-20 ,*01:01
IGHV3-21 ,*01:01
IGHV3-22 ,*01:01
IGHV3-23 ,*01:01
IGHV3-25 ,*01:01
IGHV3-29 ,*01:01
IGHV3-30 ,*01:01
IGHV3-30-2 ,*01:01
IGHV3-32 ,*01:01
IGHV3-33 ,*01:01
IGHV3-33-2 ,*01:01
IGHV3-35 ,*01:01
IGHV3-36 ,*01:01
IGHV3-37 ,*01:01
IGHV3-38 ,*01:01
IGHV3-41 ,*01:01
IGHV3-42 ,*01:01
IGHV3-43 ,*01:01
IGHV3-47 ,*01:01
IGHV3-48 ,*01:01
IGHV3-49 ,*01:01
IGHV3-50 ,*01:01
IGHV3-52 ,*01:01
IGHV3-53 ,*01:01
IGHV3-54 ,*01:01
IGHV3-57 ,*01:01
IGHV3-60 ,*01:01
IGHV3-62 ,*01:01
IGHV3-63 ,*01:01
IGHV3-64 ,*01:01
IGHV3-64D ,*01:01
IGHV3-65 ,*01:01
IGHV3-66 ,*01:01
IGHV3-69-1 ,*01:01
IGHV3-71 ,*01:01
IGHV3-72 ,*01:01
IGHV3-73 ,*01:01
IGHV3-74 ,*01:01
IGHV3-75 ,*01:01
IGHV3-76 ,*01:01
IGHV3-79 ,*01:01
IGHV4-4 ,*01:01
IGHV4-28 ,*01:01
IGHV4-30-2 ,*01:01
IGHV4-34 ,*01:01
IGHV4-39 ,*01:01
IGHV4-55 ,*01:01
IGHV4-59 ,*01:01
IGHV4-61 ,*01:01
IGHV4-80 ,*01:01
IGHV5-10-1 ,*01:01
IGHV5-51 ,*01:01
IGHV5-78 ,*01:01
IGHV6-1 ,*01:01
IGHV7-4-1 ,*01:01
IGHV7-27 ,*01:01
IGHV7-34-1 ,*01:01
IGHV7-40 ,*01:01
IGHV7-56 ,*01:01
IGHV7-81 ,*01:01
IGHV8-51-1 ,*01:01
IGHVII-1-1 ,*01:01
IGHVII-15-1 ,*01:01
IGHVII-20-1 ,*01:01
IGHVII-22-1 ,*01:01
IGHVII-26-2 ,*01:01
IGHVII-28-1 ,*01:01
IGHVII-30-1 ,*01:01
IGHVII-30-21 ,*01:01
IGHVII-33-1 ,*01:01
IGHVII-40-1 ,*01:01
IGHVII-43-1 ,*01:01
IGHVII-44-2 ,*01:01
IGHVII-46-1 ,*01:01
IGHVII-49-1 ,*01:01
IGHVII-51-2 ,*01:01
IGHVII-53-1 ,*01:01
IGHVII-60-1 ,*01:01
IGHVII-62-1 ,*01:01
IGHVII-65-1 ,*01:01
IGHVII-67-1 ,*01:01
IGHVII-74-1 ,*01:01
IGHVII-78-1 ,*01:01
IGHVIII-2-1 ,*01:01
IGHVIII-5-1 ,*01:01
IGHVIII-5-2 ,*01:01
IGHVIII-11-1 ,*01:01
IGHVIII-13-1 ,*01:01
IGHVIII-16-1 ,*01:01
IGHVIII-22-2 ,*01:01
IGHVIII-25-1 ,*01:01
IGHVIII-26-1 ,*01:01
IGHVIII-38-1 ,*01:01
IGHVIII-44 ,*01:01
IGHVIII-47-1 ,*01:01
IGHVIII-67-2 ,*01:01
IGHVIII-67-3 ,*01:01
IGHVIII-67-4 ,*01:01
IGHVIII-76-1 ,*01:01
IGHVIII-82 ,*01:01
IGHVIV-44-1 ,*01:01
