Gene,Allele
IGKC,*01:01:01
IGKJ5,*01
IGKJ4,*01
IGKJ3,*01
IGKJ2,*01
IGKJ1,*01
IGKV4-1,*01:01:01
IGKV5-2,*01:01:01
IGKV7-3,*01:01:01P
IGKV2-4,*01:01:01P
IGKV1-5,*01:01:01
IGKV1-6,*01:01:01
IGKV3-7,*01:01:01
IGKV1-8,*01:01:01
IGKV1-9,*01:01:01
IGKV2-10,*01:01:01P
IGKV3-11,*01:01:01
IGKV1-12,*01:01:01
IGKV1-13,*01:01:01P
IGKV2-14,*01:01:01P
IGKV3-15,*01:01:01
IGKV1-16,*01:01:01
IGKV1-17,*01:01:01P
IGKV2-18,*01:01:01P
IGKV2-19,*01:01:01P
IGKV3-20,*01:01:01
IGKV6-21,*01:01:01
IGKV1-22,*01:01:01P
IGKV2-23,*01:01:01P
IGKV2-24,*01:01:01
IGKV3-25,*01:01:01P
IGKV2-26,*01:01:01P
IGKV1-27,*01:01:01
IGKV2-28,*01:01:01
IGKV2-29,*01:01:01
IGKV2-30,*01:01:01
IGKV3-31,*01:01:01P
IGKV1-32,*01:01:01P
IGKV1-33,*01:01:01
IGKV3-34,*01:01:01P
IGKV1-35,*01:01:01P
IGKV2-36,*01:01:01P
IGKV1-37,*01:01:01
IGKV2-38,*01:01:01P
IGKV1-39,*01:01:01
IGKV2-40,*01:01:01P
IGKV2D-40,*01:01:01
IGKV1D-39,*01:01:01
IGKV2D-38,*01:01:01P
IGKV1D-37,*01:01:01
IGKV2D-36,*01:01:01P
IGKV1D-35,*01:01:01P
IGKV3D-34,*01:01:01P
IGKV1D-33,*01:01:01P
IGKV1D-32,*01:01:01P
IGKV3D-31,*01:01:01P
IGKV2D-30,*01:01:01
IGKV2D-29,*01:01:01
IGKV2D-28,*01:01:01
IGKV1D-27,*01:01:01P
IGKV2D-26,*01:01:01
IGKV3D-25,*01:01:01P
IGKV2D-24,*01:01:01
IGKV2D-23,*01:01:01P
IGKV1D-22,*01:01:01P
IGKV6D-21,*01:01:01
IGKV3D-20,*01:01:01
IGKV2D-19,*01:01:01P
IGKV2D-18,*01:01:01P
IGKV6D-41,*01:01:01
IGKV1D-17,*01:01:01
IGKV1D-16,*01:01:01
IGKV3D-15,*01:01:01
IGKV2D-14,*01:01:01P
IGKV1D-13,*01:01:01
IGKV1D-12,*01:01:01
IGKV3D-11,*01:01:01
IGKV2D-10,*01:01:01P
IGKV1D-42,*01:01:01
IGKV1D-43,*01:01:01
IGKV1D-8,*01:01:01
IGKV3D-7,*01:01:01
